sku`attribute_set`store`dbs_orig_customer_number`dbs_orig_sku`is_in_stock`manage_stock`status`visibility`tax_class_id
400--config`Unit Quantity`admin`11765``1`1`1`Not Visible Individually`Taxable Goods
381-ST1-11000`Unit Quantity`admin`11777`ST1`1`1`1`Not Visible Individually`Taxable Goods
381-ST1-config`Unit Quantity`admin`11777`ST1`1`1`1`Not Visible Individually`Taxable Goods
434--5500`Unit Quantity`admin`11777``1`1`1`Not Visible Individually`Taxable Goods
434--2750`Unit Quantity`admin`11777``1`1`1`Not Visible Individually`Taxable Goods
434--config`Unit Quantity`admin`11777``1`1`1`Not Visible Individually`Taxable Goods
378-SB1-500`Unit Quantity`admin`11823`SB1`1`1`1`Not Visible Individually`Taxable Goods
378-SB1-1500`Unit Quantity`admin`11823`SB1`1`1`1`Not Visible Individually`Taxable Goods
378-SB1-1000`Unit Quantity`admin`11823`SB1`1`1`1`Not Visible Individually`Taxable Goods
378-SB1-2000`Unit Quantity`admin`11823`SB1`1`1`1`Not Visible Individually`Taxable Goods
378-SB1-2500`Unit Quantity`admin`11823`SB1`1`1`1`Not Visible Individually`Taxable Goods
378-SB1-config`Unit Quantity`admin`11823`SB1`1`1`1`Not Visible Individually`Taxable Goods
379-T-2-CC MB-500`Unit Quantity`admin`11826`T-2-CC MB`1`1`1`Not Visible Individually`Taxable Goods
379-T-2-CC MB-config`Unit Quantity`admin`11826`T-2-CC MB`1`1`1`Not Visible Individually`Taxable Goods
380-SCMC1-25000`Unit Quantity`admin`11826`SCMC1`1`1`1`Not Visible Individually`Taxable Goods
380-SCMC1-config`Unit Quantity`admin`11826`SCMC1`1`1`1`Not Visible Individually`Taxable Goods
397-U17-5`Unit Quantity`admin`11826`U17`1`1`1`Not Visible Individually`Taxable Goods
397-U17-config`Unit Quantity`admin`11826`U17`1`1`1`Not Visible Individually`Taxable Goods
414-LTRHD-20000`Unit Quantity`admin`11826`LTRHD`1`1`1`Not Visible Individually`Taxable Goods
414-LTRHD-config`Unit Quantity`admin`11826`LTRHD`1`1`1`Not Visible Individually`Taxable Goods
423-WC1-10000`Unit Quantity`admin`11826`WC1`1`1`1`Not Visible Individually`Taxable Goods
423-WC1-config`Unit Quantity`admin`11826`WC1`1`1`1`Not Visible Individually`Taxable Goods
382-SRC-5500`Unit Quantity`admin`11863`SRC`1`1`1`Not Visible Individually`Taxable Goods
382-SRC-config`Unit Quantity`admin`11863`SRC`1`1`1`Not Visible Individually`Taxable Goods
383-GFC-5500`Unit Quantity`admin`11863`GFC`1`1`1`Not Visible Individually`Taxable Goods
383-GFC-config`Unit Quantity`admin`11863`GFC`1`1`1`Not Visible Individually`Taxable Goods
384-AC-2000`Unit Quantity`admin`11876`AC`1`1`1`Not Visible Individually`Taxable Goods
384-AC-config`Unit Quantity`admin`11876`AC`1`1`1`Not Visible Individually`Taxable Goods
385-CFF-1280`Unit Quantity`admin`11876`CFF`1`1`1`Not Visible Individually`Taxable Goods
385-CFF-config`Unit Quantity`admin`11876`CFF`1`1`1`Not Visible Individually`Taxable Goods
386-MD1-1000`Unit Quantity`admin`11876`MD1`1`1`1`Not Visible Individually`Taxable Goods
386-MD1-config`Unit Quantity`admin`11876`MD1`1`1`1`Not Visible Individually`Taxable Goods
387-709009-1100`Unit Quantity`admin`11876`709009`1`1`1`Not Visible Individually`Taxable Goods
387-709009-config`Unit Quantity`admin`11876`709009`1`1`1`Not Visible Individually`Taxable Goods
388-BC-1000`Unit Quantity`admin`11876`BC`1`1`1`Not Visible Individually`Taxable Goods
388-BC-config`Unit Quantity`admin`11876`BC`1`1`1`Not Visible Individually`Taxable Goods
2063-701901-1000`Unit Quantity`admin`11877`701901`1`1`1`Not Visible Individually`Taxable Goods
2063-701901-config`Unit Quantity`admin`11877`701901`1`1`1`Not Visible Individually`Taxable Goods
718-RUSH-1`Unit Quantity`admin`11962`RUSH`1`1`1`Not Visible Individually`Taxable Goods
718-RUSH-config`Unit Quantity`admin`11962`RUSH`1`1`1`Not Visible Individually`Taxable Goods
461-LPB1-10000`Unit Quantity`admin`11963`LPB1`1`1`1`Not Visible Individually`Taxable Goods
461-LPB1-8000`Unit Quantity`admin`11963`LPB1`1`1`1`Not Visible Individually`Taxable Goods
461-LPB1-config`Unit Quantity`admin`11963`LPB1`1`1`1`Not Visible Individually`Taxable Goods
462-SPB1-10000`Unit Quantity`admin`11963`SPB1`1`1`1`Not Visible Individually`Taxable Goods
462-SPB1-8000`Unit Quantity`admin`11963`SPB1`1`1`1`Not Visible Individually`Taxable Goods
462-SPB1-config`Unit Quantity`admin`11963`SPB1`1`1`1`Not Visible Individually`Taxable Goods
399-#13-1000`Unit Quantity`admin`11996`#13`1`1`1`Not Visible Individually`Taxable Goods
399-#13-2000`Unit Quantity`admin`11996`#13`1`1`1`Not Visible Individually`Taxable Goods
399-#13-config`Unit Quantity`admin`11996`#13`1`1`1`Not Visible Individually`Taxable Goods
401-INV3-2750`Unit Quantity`admin`12006`INV3`1`1`1`Not Visible Individually`Taxable Goods
401-INV3-config`Unit Quantity`admin`12006`INV3`1`1`1`Not Visible Individually`Taxable Goods
402-SB1-500`Unit Quantity`admin`12029`SB1`1`1`1`Not Visible Individually`Taxable Goods
402-SB1-1000`Unit Quantity`admin`12029`SB1`1`1`1`Not Visible Individually`Taxable Goods
402-SB1-config`Unit Quantity`admin`12029`SB1`1`1`1`Not Visible Individually`Taxable Goods
1616--1`Unit Quantity`admin`12091``1`1`1`Not Visible Individually`Taxable Goods
1616--config`Unit Quantity`admin`12091``1`1`1`Not Visible Individually`Taxable Goods
415-D5DX3GN-1`Unit Quantity`admin`12093`D5DX3GN`1`1`1`Not Visible Individually`Taxable Goods
415-D5DX3GN-config`Unit Quantity`admin`12093`D5DX3GN`1`1`1`Not Visible Individually`Taxable Goods
829-WCKTA4-GD-300`Unit Quantity`admin`12098`WCKTA4-GD`1`1`1`Not Visible Individually`Taxable Goods
829-WCKTA4-GD-config`Unit Quantity`admin`12098`WCKTA4-GD`1`1`1`Not Visible Individually`Taxable Goods
417-BF1-12500`Unit Quantity`admin`12113`BF1`1`1`1`Not Visible Individually`Taxable Goods
417-BF1-15000`Unit Quantity`admin`12113`BF1`1`1`1`Not Visible Individually`Taxable Goods
417-BF1-config`Unit Quantity`admin`12113`BF1`1`1`1`Not Visible Individually`Taxable Goods
1762-CMSLC1-1000`Unit Quantity`admin`12127`CMSLC1`1`1`1`Not Visible Individually`Taxable Goods
1762-CMSLC1-config`Unit Quantity`admin`12127`CMSLC1`1`1`1`Not Visible Individually`Taxable Goods
460--2000`Unit Quantity`admin`12129``1`1`1`Not Visible Individually`Taxable Goods
460--3000`Unit Quantity`admin`12129``1`1`1`Not Visible Individually`Taxable Goods
460--config`Unit Quantity`admin`12129``1`1`1`Not Visible Individually`Taxable Goods
2136-CMS-12LC-1`Unit Quantity`admin`12144`CMS-12LC`1`1`1`Not Visible Individually`Taxable Goods
2136-CMS-12LC-config`Unit Quantity`admin`12144`CMS-12LC`1`1`1`Not Visible Individually`Taxable Goods
420-C4W-12`Unit Quantity`admin`12155`C4W`1`1`1`Not Visible Individually`Taxable Goods
420-C4W-24`Unit Quantity`admin`12155`C4W`1`1`1`Not Visible Individually`Taxable Goods
420-C4W-config`Unit Quantity`admin`12155`C4W`1`1`1`Not Visible Individually`Taxable Goods
463-T-NCR-37-50`Unit Quantity`admin`12155`T-NCR-37`1`1`1`Not Visible Individually`Taxable Goods
463-T-NCR-37-config`Unit Quantity`admin`12155`T-NCR-37`1`1`1`Not Visible Individually`Taxable Goods
464-T-NCR-37-50`Unit Quantity`admin`12155`T-NCR-37`1`1`1`Not Visible Individually`Taxable Goods
464-T-NCR-37-config`Unit Quantity`admin`12155`T-NCR-37`1`1`1`Not Visible Individually`Taxable Goods
421-1062 Label Art-11000`Unit Quantity`admin`12161`1062 Label Art`1`1`1`Not Visible Individually`Taxable Goods
421-1062 Label Art-config`Unit Quantity`admin`12161`1062 Label Art`1`1`1`Not Visible Individually`Taxable Goods
424-SB2-Wise-1100`Unit Quantity`admin`12189`SB2-Wise`1`1`1`Not Visible Individually`Taxable Goods
424-SB2-Wise-config`Unit Quantity`admin`12189`SB2-Wise`1`1`1`Not Visible Individually`Taxable Goods
1750-CMSLC (08/05)-1000`Unit Quantity`admin`12249`CMSLC (08/05)`1`1`1`Not Visible Individually`Taxable Goods
1750-CMSLC (08/05)-config`Unit Quantity`admin`12249`CMSLC (08/05)`1`1`1`Not Visible Individually`Taxable Goods
433-WJSGN- Wilmer-6`Unit Quantity`admin`12259`WJSGN- Wilmer`1`1`1`Not Visible Individually`Taxable Goods
433-WJSGN- Wilmer-10`Unit Quantity`admin`12259`WJSGN- Wilmer`1`1`1`Not Visible Individually`Taxable Goods
433-WJSGN- Wilmer-config`Unit Quantity`admin`12259`WJSGN- Wilmer`1`1`1`Not Visible Individually`Taxable Goods
435-3462S-6-500`Unit Quantity`admin`12306`3462S-6`1`1`1`Not Visible Individually`Taxable Goods
435-3462S-6-config`Unit Quantity`admin`12306`3462S-6`1`1`1`Not Visible Individually`Taxable Goods
436-14037-2000`Unit Quantity`admin`12311`14037`1`1`1`Not Visible Individually`Taxable Goods
436-14037-config`Unit Quantity`admin`12311`14037`1`1`1`Not Visible Individually`Taxable Goods
438-MD1-Horizon-1000`Unit Quantity`admin`12315`MD1-Horizon`1`1`1`Not Visible Individually`Taxable Goods
438-MD1-Horizon-4000`Unit Quantity`admin`12315`MD1-Horizon`1`1`1`Not Visible Individually`Taxable Goods
438-MD1-Horizon-8000`Unit Quantity`admin`12315`MD1-Horizon`1`1`1`Not Visible Individually`Taxable Goods
438-MD1-Horizon-10000`Unit Quantity`admin`12315`MD1-Horizon`1`1`1`Not Visible Individually`Taxable Goods
438-MD1-Horizon-12000`Unit Quantity`admin`12315`MD1-Horizon`1`1`1`Not Visible Individually`Taxable Goods
438-MD1-Horizon-16000`Unit Quantity`admin`12315`MD1-Horizon`1`1`1`Not Visible Individually`Taxable Goods
438-MD1-Horizon-config`Unit Quantity`admin`12315`MD1-Horizon`1`1`1`Not Visible Individually`Taxable Goods
456-LMD1-20000`Unit Quantity`admin`12323`LMD1`1`1`1`Not Visible Individually`Taxable Goods
456-LMD1-19000`Unit Quantity`admin`12323`LMD1`1`1`1`Not Visible Individually`Taxable Goods
456-LMD1-18000`Unit Quantity`admin`12323`LMD1`1`1`1`Not Visible Individually`Taxable Goods
456-LMD1-17000`Unit Quantity`admin`12323`LMD1`1`1`1`Not Visible Individually`Taxable Goods
456-LMD1-16000`Unit Quantity`admin`12323`LMD1`1`1`1`Not Visible Individually`Taxable Goods
456-LMD1-15000`Unit Quantity`admin`12323`LMD1`1`1`1`Not Visible Individually`Taxable Goods
456-LMD1-14000`Unit Quantity`admin`12323`LMD1`1`1`1`Not Visible Individually`Taxable Goods
